Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,1.0,0.0
seq_to_seq,validate,0.799783007845101,3.0704734
seq_to_seq,test,0.508084706864177,7.542931
bepler,train,1.0,0.0
bepler,validate,0.8028709731263562,3.0231173
bepler,test,0.5151262257458794,7.435058
fasttext,train,1.0,0.0
fasttext,validate,0.801118344182941,3.049884
fasttext,test,0.5063634466930941,7.569262
fft_alpha_structure,train,1.0,0.0
fft_alpha_structure,validate,0.7993657152395259,3.0770023
fft_alpha_structure,test,0.5137700813686626,7.4558334
fft_betha_structure,train,1.0,0.0
fft_betha_structure,validate,0.8003672174929061,3.0616536
fft_betha_structure,test,0.5121531399958272,7.4806213
fft_energetic,train,1.0,0.0
fft_energetic,validate,0.7984476715072609,3.0910864
fft_energetic,test,0.5135614437721677,7.4590755
fft_hydropathy,train,1.0,0.0
fft_hydropathy,validate,0.7993657152395259,3.0770175
fft_hydropathy,test,0.5139265595660338,7.4534574
fft_hydrophobicity,train,1.0,0.0
fft_hydrophobicity,validate,0.800283758971791,3.0629258
fft_hydrophobicity,test,0.5171604423117045,7.403886
fft_index,train,1.0,0.0
fft_index,validate,0.799031881155066,3.0821362
fft_index,test,0.515021906947632,7.436658
fft_secondary_structure,train,1.0,0.0
fft_secondary_structure,validate,0.8016190953096312,3.0423663
fft_secondary_structure,test,0.5125182557896933,7.47497
fft_volume,train,1.0,0.0
fft_volume,validate,0.7993657152395259,3.0770714
fft_volume,test,0.5122574587940747,7.4790792
glove,train,1.0,0.0
glove,validate,0.8010348856618261,3.0515003
glove,test,0.5141873565616524,7.449544
oneshot,train,1.0,0.0
oneshot,validate,0.8027040560841262,3.025539
oneshot,test,0.5180993114959316,7.3893127
physicochemical_alpha_structure,train,1.0,0.0
physicochemical_alpha_structure,validate,0.799115339676181,3.080872
physicochemical_alpha_structure,test,0.5134571249739203,7.460627
physicochemical_betha_structure,train,1.0,0.0
physicochemical_betha_structure,validate,0.799115339676181,3.08078
physicochemical_betha_structure,test,0.51163154600459,7.488619
physicochemical_energetic,train,1.0,0.0
physicochemical_energetic,validate,0.799449173760641,3.0757227
physicochemical_energetic,test,0.5106405174212393,7.5038533
physicochemical_hydropathy,train,1.0,0.0
physicochemical_hydropathy,validate,0.7992822567184109,3.078328
physicochemical_hydropathy,test,0.510327561026497,7.5086756
physicochemical_hydrophobocity,train,1.0,0.0
physicochemical_hydrophobocity,validate,0.7987815055917209,3.086006
physicochemical_hydrophobocity,test,0.511840183601085,7.4855013
physicochemical_index,train,1.0,0.0
physicochemical_index,validate,0.7976130862961108,3.1041129
physicochemical_index,test,0.5130398497809305,7.4670825
physicochemical_secondary_structure,train,1.0,0.0
physicochemical_secondary_structure,validate,0.7989484226339509,3.0833702
physicochemical_secondary_structure,test,0.5121531399958272,7.4806547
physicochemical_volume,train,1.0,0.0
physicochemical_volume,validate,0.8017025538307461,3.0411477
physicochemical_volume,test,0.5137179219695389,7.4567566
