Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,0.47605530338161167
seq_to_seq,validate,3.0978216153427147
seq_to_seq,test,3.2883873777138817
bepler,train,0.46552237620160364
bepler,validate,3.051606813481994
bepler,test,3.2272788578907905
fasttext,train,0.45761494525011365
fasttext,validate,3.039535837803555
fasttext,test,3.2394903315754733
fft_alpha_structure,train,0.47530752832155004
fft_alpha_structure,validate,3.1016102762736084
fft_alpha_structure,test,3.353733074083175
fft_betha_structure,train,0.468511183414905
fft_betha_structure,validate,3.086847164299373
fft_betha_structure,test,3.364023156112406
fft_energetic,train,0.46977091905875684
fft_energetic,validate,3.108111875617861
fft_energetic,test,3.3523149594488926
fft_hydropathy,train,0.4711702988899068
fft_hydropathy,validate,3.0711417903460343
fft_hydropathy,test,3.3038270673993004
fft_hydrophobicity,train,0.47172828409488815
fft_hydrophobicity,validate,3.0810112661207167
fft_hydrophobicity,test,3.305295139412165
fft_index,train,0.47599998520007347
fft_index,validate,3.0963433560219134
fft_index,test,3.331879950446778
fft_secondary_structure,train,0.47407934952917874
fft_secondary_structure,validate,3.1497660332253563
fft_secondary_structure,test,3.371993930115328
fft_volume,train,0.4668062461185439
fft_volume,validate,3.086991301490353
fft_volume,test,3.3532011652387967
glove,train,0.4761284904861874
glove,validate,3.182744370652783
glove,test,3.329439136907045
oneshot,train,0.47371059342189
oneshot,validate,3.087536196934801
oneshot,test,3.378276151198129
physicochemical_alpha_structure,train,0.4718961093692098
physicochemical_alpha_structure,validate,3.1045332528431837
physicochemical_alpha_structure,test,3.3371424264326888
physicochemical_betha_structure,train,0.47340967717748583
physicochemical_betha_structure,validate,3.105208355903032
physicochemical_betha_structure,test,3.3337375015067354
physicochemical_energetic,train,0.47753743996915826
physicochemical_energetic,validate,3.1059338470964417
physicochemical_energetic,test,3.2998447301483584
physicochemical_hydropathy,train,0.47138198007322474
physicochemical_hydropathy,validate,3.1257923273348105
physicochemical_hydropathy,test,3.282566962693575
physicochemical_hydrophobocity,train,0.470510908841812
physicochemical_hydrophobocity,validate,3.1113479896900795
physicochemical_hydrophobocity,test,3.3577155294753998
physicochemical_index,train,0.47496021605596045
physicochemical_index,validate,3.165388320178304
physicochemical_index,test,3.306857161703087
physicochemical_secondary_structure,train,0.47396811364503494
physicochemical_secondary_structure,validate,3.11758496834924
physicochemical_secondary_structure,test,3.3549411369438795
physicochemical_volume,train,0.47612932023258847
physicochemical_volume,validate,3.1493873447731326
physicochemical_volume,test,3.2913606355914355
