Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,0.46990723921052224
seq_to_seq,validate,3.080555345612007
seq_to_seq,test,3.29096071444963
bepler,train,0.4522564276013192
bepler,validate,3.0118104735979507
bepler,test,3.082943103738802
fasttext,train,0.46832738960486153
fasttext,validate,3.151539470181238
fasttext,test,3.36407399762764
fft_alpha_structure,train,0.4589281922056352
fft_alpha_structure,validate,3.031015446989169
fft_alpha_structure,test,3.2089812145321943
fft_betha_structure,train,0.4601065702049622
fft_betha_structure,validate,3.0062278477174376
fft_betha_structure,test,3.234151173030418
fft_energetic,train,0.4648452892367405
fft_energetic,validate,3.0098487725070533
fft_energetic,test,3.2775902220670043
fft_hydropathy,train,0.46480492860472455
fft_hydropathy,validate,3.0663248152060603
fft_hydropathy,test,3.1838799378180505
fft_hydrophobicity,train,0.45732324799449453
fft_hydrophobicity,validate,3.0534908319449925
fft_hydrophobicity,test,3.2771525790312173
fft_index,train,0.46201009002465376
fft_index,validate,3.0441891398850838
fft_index,test,3.20574538648668
fft_secondary_structure,train,0.45818547993762304
fft_secondary_structure,validate,3.057104552770743
fft_secondary_structure,test,3.293184194813706
fft_volume,train,0.45948511342898446
fft_volume,validate,3.0251352943680754
fft_volume,test,3.239872487847883
glove,train,0.47200240236368873
glove,validate,3.1278645028530883
glove,test,3.380920172934074
oneshot,train,0.465060690544431
oneshot,validate,3.0516931421080478
oneshot,test,3.3264316194354477
physicochemical_alpha_structure,train,0.46701374537018575
physicochemical_alpha_structure,validate,3.1299021621359526
physicochemical_alpha_structure,test,3.2933544702034423
physicochemical_betha_structure,train,0.4684438560368867
physicochemical_betha_structure,validate,3.1044566442607784
physicochemical_betha_structure,test,3.292049984007947
physicochemical_energetic,train,0.47378206147710705
physicochemical_energetic,validate,3.0643960954997973
physicochemical_energetic,test,3.2896776402786676
physicochemical_hydropathy,train,0.47012984286139986
physicochemical_hydropathy,validate,3.098939823874657
physicochemical_hydropathy,test,3.285335965649243
physicochemical_hydrophobocity,train,0.46863509090725286
physicochemical_hydrophobocity,validate,3.083860547964615
physicochemical_hydrophobocity,test,3.3223870121908794
physicochemical_index,train,0.468982399880713
physicochemical_index,validate,3.0996585990390404
physicochemical_index,test,3.296689091046081
physicochemical_secondary_structure,train,0.46728144470601773
physicochemical_secondary_structure,validate,3.071276193866848
physicochemical_secondary_structure,test,3.3186765856821507
physicochemical_volume,train,0.4687784235059372
physicochemical_volume,validate,3.0458129550351885
physicochemical_volume,test,3.2928110665540533
