Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,0.9999721812668652,0.00042655127
seq_to_seq,validate,0.8187280921382073,2.7807798
seq_to_seq,test,0.5760484039223868,6.501368
bepler,train,1.0,0.0
bepler,validate,0.8245701886162577,2.690612
bepler,test,0.5708324640100146,6.581058
fasttext,train,1.0,0.0
fasttext,validate,0.8187280921382073,2.7801983
fasttext,test,0.5584706864176925,6.77069
fft_alpha_structure,train,1.0,0.0
fft_alpha_structure,validate,0.800617593056251,3.057646
fft_alpha_structure,test,0.5116837054037138,7.487724
fft_betha_structure,train,1.0,0.0
fft_betha_structure,validate,0.800283758971791,3.0625815
fft_betha_structure,test,0.5072501564781974,7.5556035
fft_energetic,train,1.0,0.0
fft_energetic,validate,0.8050408946753463,2.9896617
fft_energetic,test,0.5161172543292302,7.4196997
fft_hydropathy,train,1.0,0.0
fft_hydropathy,validate,0.8019529293940911,3.0369265
fft_hydropathy,test,0.5093365324431463,7.5236316
fft_hydrophobicity,train,1.0,0.0
fft_hydrophobicity,validate,0.800617593056251,3.0575159
fft_hydrophobicity,test,0.5103797204256207,7.507708
fft_index,train,1.0,0.0
fft_index,validate,0.8034551827741613,3.013984
fft_index,test,0.5169518047152096,7.4069223
fft_secondary_structure,train,1.0,0.0
fft_secondary_structure,validate,0.8020363879152062,3.0357537
fft_secondary_structure,test,0.5090757354475276,7.5276737
fft_volume,train,1.0,0.0
fft_volume,validate,0.8022033049574362,3.0331943
fft_volume,test,0.5115272272063426,7.490051
glove,train,1.0,0.0
glove,validate,0.8208980136871975,2.74698
glove,test,0.5611308157730023,6.729792
oneshot,train,1.0,0.0
oneshot,validate,0.8157235853780671,2.8258996
oneshot,test,0.5419361568954726,7.023827
physicochemical_alpha_structure,train,1.0,0.0
physicochemical_alpha_structure,validate,0.800534134535136,3.0591707
physicochemical_alpha_structure,test,0.5128312121844356,7.4703345
physicochemical_betha_structure,train,1.0,0.0
physicochemical_betha_structure,validate,0.7979469203805708,3.0988567
physicochemical_betha_structure,test,0.513509284373044,7.4598894
physicochemical_energetic,train,0.9999721812668652,0.00042655127
physicochemical_energetic,validate,0.7992822567184109,3.0784504
physicochemical_energetic,test,0.5154913415397454,7.429636
physicochemical_hydropathy,train,1.0,0.0
physicochemical_hydropathy,validate,0.7966950425638458,3.11809
physicochemical_hydropathy,test,0.5104318798247445,7.5070415
physicochemical_hydrophobocity,train,1.0,0.0
physicochemical_hydrophobocity,validate,0.8008679686195961,3.0541358
physicochemical_hydrophobocity,test,0.515021906947632,7.4367337
physicochemical_index,train,1.0,0.0
physicochemical_index,validate,0.7992822567184109,3.0784118
physicochemical_index,test,0.5129876903818068,7.467878
physicochemical_secondary_structure,train,1.0,0.0
physicochemical_secondary_structure,validate,0.799783007845101,3.070803
physicochemical_secondary_structure,test,0.5139787189651576,7.4527965
physicochemical_volume,train,1.0,0.0
physicochemical_volume,validate,0.799866466366216,3.069332
physicochemical_volume,test,0.5141351971625286,7.4503303
