Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,0.9584388126964698,0.63726765
seq_to_seq,validate,0.8021198464363212,3.0341756
seq_to_seq,test,0.5029730857500522,7.6210513
bepler,train,1.0,0.0
bepler,validate,0.801201802704056,3.04865
bepler,test,0.5139787189651576,7.452538
fasttext,train,0.9999721812668652,0.00042655127
fasttext,validate,0.8003672174929061,3.0616076
fasttext,test,0.5152827039432506,7.4327493
fft_alpha_structure,train,1.0,0.0
fft_alpha_structure,validate,0.800701051577366,3.0565424
fft_alpha_structure,test,0.5154913415397454,7.429474
fft_betha_structure,train,1.0,0.0
fft_betha_structure,validate,0.800534134535136,3.0589948
fft_betha_structure,test,0.513509284373044,7.4598403
fft_energetic,train,1.0,0.0
fft_energetic,validate,0.799449173760641,3.0757835
fft_energetic,test,0.512205299394951,7.4798217
fft_hydropathy,train,0.9999721812668652,0.00042655127
fft_hydropathy,validate,0.7981972959439159,3.0950253
fft_hydropathy,test,0.5129876903818068,7.4678054
fft_hydrophobicity,train,1.0,0.0
fft_hydrophobicity,validate,0.8014521782674011,3.0450099
fft_hydrophobicity,test,0.5151783851450031,7.434311
fft_index,train,1.0,0.0
fft_index,validate,0.799699549323986,3.0718603
fft_index,test,0.5137179219695389,7.456551
fft_secondary_structure,train,1.0,0.0
fft_secondary_structure,validate,0.8020363879152062,3.0359373
fft_secondary_structure,test,0.5136136031712915,7.458261
fft_volume,train,1.0,0.0
fft_volume,validate,0.8026205975630112,3.027171
fft_volume,test,0.5165866889213436,7.412712
glove,train,1.0,0.0
glove,validate,0.800200300450676,3.064274
glove,test,0.5122574587940747,7.479122
oneshot,train,1.0,0.0
oneshot,validate,0.8088799866466366,2.9308038
oneshot,test,0.5270707281452117,7.251795
physicochemical_alpha_structure,train,1.0,0.0
physicochemical_alpha_structure,validate,0.7987815055917209,3.0860825
physicochemical_alpha_structure,test,0.5126225745879407,7.4734664
physicochemical_betha_structure,train,1.0,0.0
physicochemical_betha_structure,validate,0.800450676014021,3.0605347
physicochemical_betha_structure,test,0.5111099520133529,7.496712
physicochemical_energetic,train,1.0,0.0
physicochemical_energetic,validate,0.7975296277749958,3.1054769
physicochemical_energetic,test,0.5128833715835593,7.4696293
physicochemical_hydropathy,train,1.0,0.0
physicochemical_hydropathy,validate,0.8012852612251711,3.0474854
physicochemical_hydropathy,test,0.5117358648028375,7.4870286
physicochemical_hydrophobocity,train,1.0,0.0
physicochemical_hydrophobocity,validate,0.799115339676181,3.080826
physicochemical_hydrophobocity,test,0.5120488211975798,7.4822397
physicochemical_index,train,1.0,0.0
physicochemical_index,validate,0.7993657152395259,3.0769794
physicochemical_index,test,0.5127268933861882,7.4719195
physicochemical_secondary_structure,train,1.0,0.0
physicochemical_secondary_structure,validate,0.7991987981972959,3.0796688
physicochemical_secondary_structure,test,0.5105361986229918,7.505524
physicochemical_volume,train,1.0,0.0
physicochemical_volume,validate,0.800116841929561,3.065745
physicochemical_volume,test,0.5155435009388691,7.4287405
