Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,0.4655262200484129
seq_to_seq,validate,3.0737136371952616
seq_to_seq,test,3.3643503229321854
bepler,train,0.463913674112998
bepler,validate,3.0598626944106755
bepler,test,3.2358839531055654
fasttext,train,0.482453333749269
fasttext,validate,3.2069860749206778
fasttext,test,3.362254935932126
fft_alpha_structure,train,0.4726546947889479
fft_alpha_structure,validate,3.1004181312939383
fft_alpha_structure,test,3.3439411928077813
fft_betha_structure,train,0.47028581934789715
fft_betha_structure,validate,3.1014981842652336
fft_betha_structure,test,3.3706449296359926
fft_energetic,train,0.47189665713242024
fft_energetic,validate,3.1027167456212066
fft_energetic,test,3.3277067221651753
fft_hydropathy,train,0.4693174760443153
fft_hydropathy,validate,3.0959010649790435
fft_hydropathy,test,3.2784571079637694
fft_hydrophobicity,train,0.4726601636938715
fft_hydrophobicity,validate,3.082115384695427
fft_hydrophobicity,test,3.319795809489386
fft_index,train,0.4800408286387933
fft_index,validate,3.134143998961713
fft_index,test,3.3287407187411198
fft_secondary_structure,train,0.4713700397084664
fft_secondary_structure,validate,3.1314189412824547
fft_secondary_structure,test,3.367479356504756
fft_volume,train,0.46879335699294156
fft_volume,validate,3.108829937973244
fft_volume,test,3.379780845958032
glove,train,0.48020280286638667
glove,validate,3.2436594792805242
glove,test,3.3667545398682286
oneshot,train,0.46765027705422413
oneshot,validate,3.127222423934565
oneshot,test,3.382539524955656
physicochemical_alpha_structure,train,0.47067353036963167
physicochemical_alpha_structure,validate,3.116693222023383
physicochemical_alpha_structure,test,3.347389267225983
physicochemical_betha_structure,train,0.46943612448733424
physicochemical_betha_structure,validate,3.1225743096791008
physicochemical_betha_structure,test,3.342931047189441
physicochemical_energetic,train,0.4764164020651673
physicochemical_energetic,validate,3.1028391029805946
physicochemical_energetic,test,3.3247133652020477
physicochemical_hydropathy,train,0.4714885528682074
physicochemical_hydropathy,validate,3.103199377083297
physicochemical_hydropathy,test,3.3036873157214646
physicochemical_hydrophobocity,train,0.4700748058361442
physicochemical_hydrophobocity,validate,3.1007478012764986
physicochemical_hydrophobocity,test,3.345791468471351
physicochemical_index,train,0.4759732177782015
physicochemical_index,validate,3.1630200852926253
physicochemical_index,test,3.3163494429251115
physicochemical_secondary_structure,train,0.4719876606109742
physicochemical_secondary_structure,validate,3.1367659431715986
physicochemical_secondary_structure,test,3.358536390539943
physicochemical_volume,train,0.4746593368767724
physicochemical_volume,validate,3.14060629473963
physicochemical_volume,test,3.313243892337222
