Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.3320746421813965
seq_to_seq,validate,3.4376060962677
seq_to_seq,test,3.3839917182922363
bepler,train,3.2734713554382324
bepler,validate,3.401435613632202
bepler,test,3.344496250152588
fasttext,train,3.304133892059326
fasttext,validate,3.434835195541382
fasttext,test,3.3740394115448
fft_alpha_structure,train,3.3075544834136963
fft_alpha_structure,validate,3.4747579097747803
fft_alpha_structure,test,3.4007294178009033
fft_betha_structure,train,3.279047727584839
fft_betha_structure,validate,3.453747272491455
fft_betha_structure,test,3.3787760734558105
fft_energetic,train,3.2327141761779785
fft_energetic,validate,3.418569803237915
fft_energetic,test,3.341972589492798
fft_hydropathy,train,3.352461576461792
fft_hydropathy,validate,3.442991256713867
fft_hydropathy,test,3.38942551612854
fft_hydrophobicity,train,3.265667200088501
fft_hydrophobicity,validate,3.418825387954712
fft_hydrophobicity,test,3.3454933166503906
fft_index,train,3.2970590591430664
fft_index,validate,3.4443254470825195
fft_index,test,3.3700358867645264
fft_secondary_structure,train,3.3450446128845215
fft_secondary_structure,validate,3.4363338947296143
fft_secondary_structure,test,3.381779670715332
fft_volume,train,3.3198366165161133
fft_volume,validate,3.4482502937316895
fft_volume,test,3.3791072368621826
glove,train,3.3149521350860596
glove,validate,3.4452953338623047
glove,test,3.380404233932495
oneshot,train,3.277257204055786
oneshot,validate,3.4155969619750977
oneshot,test,3.3419063091278076
physicochemical_alpha_structure,train,2.774080276489258
physicochemical_alpha_structure,validate,3.249300003051758
physicochemical_alpha_structure,test,3.1637206077575684
physicochemical_betha_structure,train,3.0759713649749756
physicochemical_betha_structure,validate,3.3283393383026123
physicochemical_betha_structure,test,3.2632973194122314
physicochemical_energetic,train,2.801217794418335
physicochemical_energetic,validate,3.2463808059692383
physicochemical_energetic,test,3.1413557529449463
physicochemical_hydropathy,train,2.7281737327575684
physicochemical_hydropathy,validate,3.3409698009490967
physicochemical_hydropathy,test,3.224555730819702
physicochemical_hydrophobocity,train,2.4756507873535156
physicochemical_hydrophobocity,validate,3.304631471633911
physicochemical_hydrophobocity,test,3.2043802738189697
physicochemical_index,train,2.7835605144500732
physicochemical_index,validate,3.3568501472473145
physicochemical_index,test,3.2500107288360596
physicochemical_secondary_structure,train,2.771284580230713
physicochemical_secondary_structure,validate,3.2617924213409424
physicochemical_secondary_structure,test,3.163167715072632
physicochemical_volume,train,3.070079803466797
physicochemical_volume,validate,3.341200590133667
physicochemical_volume,test,3.258906841278076
