Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.283890962600708
seq_to_seq,validate,3.40265154838562
seq_to_seq,test,3.3315885066986084
bepler,train,3.0503475666046143
bepler,validate,3.2823679447174072
bepler,test,3.2115838527679443
fasttext,train,2.875433921813965
fasttext,validate,3.260603904724121
fasttext,test,3.149465799331665
fft_alpha_structure,train,2.7016303539276123
fft_alpha_structure,validate,3.2841622829437256
fft_alpha_structure,test,3.198964834213257
fft_betha_structure,train,2.6018643379211426
fft_betha_structure,validate,3.3275463581085205
fft_betha_structure,test,3.207149028778076
fft_energetic,train,2.3501439094543457
fft_energetic,validate,3.3055756092071533
fft_energetic,test,3.209218978881836
fft_hydropathy,train,2.9164178371429443
fft_hydropathy,validate,3.3138883113861084
fft_hydropathy,test,3.243068218231201
fft_hydrophobicity,train,2.6637351512908936
fft_hydrophobicity,validate,3.296067953109741
fft_hydrophobicity,test,3.203428268432617
fft_index,train,2.4417355060577393
fft_index,validate,3.257119655609131
fft_index,test,3.1892025470733643
fft_secondary_structure,train,2.6460933685302734
fft_secondary_structure,validate,3.331721067428589
fft_secondary_structure,test,3.2189102172851562
fft_volume,train,2.3898847103118896
fft_volume,validate,3.3189055919647217
fft_volume,test,3.2405107021331787
glove,train,2.9349026679992676
glove,validate,3.302173376083374
glove,test,3.204638719558716
oneshot,train,3.281717300415039
oneshot,validate,3.40338397026062
oneshot,test,3.3502705097198486
physicochemical_alpha_structure,train,2.973142385482788
physicochemical_alpha_structure,validate,3.2967042922973633
physicochemical_alpha_structure,test,3.2356629371643066
physicochemical_betha_structure,train,2.906226634979248
physicochemical_betha_structure,validate,3.2600255012512207
physicochemical_betha_structure,test,3.1867544651031494
physicochemical_energetic,train,2.9866766929626465
physicochemical_energetic,validate,3.2802035808563232
physicochemical_energetic,test,3.19986891746521
physicochemical_hydropathy,train,2.7268853187561035
physicochemical_hydropathy,validate,3.249927282333374
physicochemical_hydropathy,test,3.14719295501709
physicochemical_hydrophobocity,train,2.8996129035949707
physicochemical_hydrophobocity,validate,3.270761013031006
physicochemical_hydrophobocity,test,3.1774420738220215
physicochemical_index,train,2.6925394535064697
physicochemical_index,validate,3.3306162357330322
physicochemical_index,test,3.2294812202453613
physicochemical_secondary_structure,train,3.068643569946289
physicochemical_secondary_structure,validate,3.367098808288574
physicochemical_secondary_structure,test,3.2912285327911377
physicochemical_volume,train,2.8361330032348633
physicochemical_volume,validate,3.2559893131256104
physicochemical_volume,test,3.1530115604400635
