Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.284937858581543
seq_to_seq,validate,3.3996763229370117
seq_to_seq,test,3.329005241394043
bepler,train,3.265947103500366
bepler,validate,3.397174835205078
bepler,test,3.3371572494506836
fasttext,train,3.31638765335083
fasttext,validate,3.4470014572143555
fasttext,test,3.3827826976776123
fft_alpha_structure,train,3.247260570526123
fft_alpha_structure,validate,3.421156644821167
fft_alpha_structure,test,3.3507049083709717
fft_betha_structure,train,3.2729156017303467
fft_betha_structure,validate,3.46983003616333
fft_betha_structure,test,3.3923394680023193
fft_energetic,train,3.293397903442383
fft_energetic,validate,3.416154146194458
fft_energetic,test,3.353355884552002
fft_hydropathy,train,3.3286921977996826
fft_hydropathy,validate,3.427717685699463
fft_hydropathy,test,3.369866371154785
fft_hydrophobicity,train,3.31199312210083
fft_hydrophobicity,validate,3.4486842155456543
fft_hydrophobicity,test,3.3797833919525146
fft_index,train,3.312544107437134
fft_index,validate,3.442660331726074
fft_index,test,3.3763015270233154
fft_secondary_structure,train,3.264739513397217
fft_secondary_structure,validate,3.4327774047851562
fft_secondary_structure,test,3.3488845825195312
fft_volume,train,3.2834787368774414
fft_volume,validate,3.418431043624878
fft_volume,test,3.352398157119751
glove,train,3.3389389514923096
glove,validate,3.457003355026245
glove,test,3.392841339111328
oneshot,train,3.262467622756958
oneshot,validate,3.416569709777832
oneshot,test,3.368743419647217
physicochemical_alpha_structure,train,2.8949759006500244
physicochemical_alpha_structure,validate,3.2573933601379395
physicochemical_alpha_structure,test,3.1823034286499023
physicochemical_betha_structure,train,2.7447710037231445
physicochemical_betha_structure,validate,3.304107666015625
physicochemical_betha_structure,test,3.22141432762146
physicochemical_energetic,train,2.7766265869140625
physicochemical_energetic,validate,3.282834768295288
physicochemical_energetic,test,3.1785945892333984
physicochemical_hydropathy,train,2.9366559982299805
physicochemical_hydropathy,validate,3.274306297302246
physicochemical_hydropathy,test,3.193167209625244
physicochemical_hydrophobocity,train,2.8400180339813232
physicochemical_hydrophobocity,validate,3.262834310531616
physicochemical_hydrophobocity,test,3.162125587463379
physicochemical_index,train,2.793816566467285
physicochemical_index,validate,3.2642123699188232
physicochemical_index,test,3.171217203140259
physicochemical_secondary_structure,train,2.9973013401031494
physicochemical_secondary_structure,validate,3.301406145095825
physicochemical_secondary_structure,test,3.2246878147125244
physicochemical_volume,train,2.7430202960968018
physicochemical_volume,validate,3.321962594985962
physicochemical_volume,test,3.204230308532715
