Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.208170175552368
seq_to_seq,validate,3.4605350494384766
seq_to_seq,test,3.3930439949035645
bepler,train,3.325093984603882
bepler,validate,3.2435901165008545
bepler,test,3.3950083255767822
fasttext,train,3.278238534927368
fasttext,validate,3.4592437744140625
fasttext,test,3.4957916736602783
fft_alpha_structure,train,3.455315351486206
fft_alpha_structure,validate,3.373823404312134
fft_alpha_structure,test,3.384758949279785
fft_betha_structure,train,3.1356184482574463
fft_betha_structure,validate,3.3462276458740234
fft_betha_structure,test,3.4486825466156006
fft_energetic,train,3.13754940032959
fft_energetic,validate,3.5555171966552734
fft_energetic,test,3.4688706398010254
fft_hydropathy,train,3.2557151317596436
fft_hydropathy,validate,3.4633359909057617
fft_hydropathy,test,3.242288589477539
fft_hydrophobicity,train,3.2421762943267822
fft_hydrophobicity,validate,3.2967190742492676
fft_hydrophobicity,test,3.515312433242798
fft_index,train,3.183239698410034
fft_index,validate,3.5301787853240967
fft_index,test,3.563750982284546
fft_secondary_structure,train,3.2887167930603027
fft_secondary_structure,validate,3.606290817260742
fft_secondary_structure,test,3.341421127319336
fft_volume,train,3.190181016921997
fft_volume,validate,3.419914960861206
fft_volume,test,3.473978281021118
glove,train,3.2869346141815186
glove,validate,3.2253942489624023
glove,test,3.3289217948913574
oneshot,train,3.284613847732544
oneshot,validate,3.5363712310791016
oneshot,test,3.24666166305542
physicochemical_alpha_structure,train,2.931690216064453
physicochemical_alpha_structure,validate,3.4612600803375244
physicochemical_alpha_structure,test,3.2566709518432617
physicochemical_betha_structure,train,2.4920737743377686
physicochemical_betha_structure,validate,3.214378833770752
physicochemical_betha_structure,test,3.322662591934204
physicochemical_energetic,train,2.735707998275757
physicochemical_energetic,validate,3.463618278503418
physicochemical_energetic,test,3.2000834941864014
physicochemical_hydropathy,train,2.925208806991577
physicochemical_hydropathy,validate,3.3215036392211914
physicochemical_hydropathy,test,3.2023825645446777
physicochemical_hydrophobocity,train,2.7516050338745117
physicochemical_hydrophobocity,validate,3.2482681274414062
physicochemical_hydrophobocity,test,3.3912577629089355
physicochemical_index,train,2.8765158653259277
physicochemical_index,validate,3.3416671752929688
physicochemical_index,test,3.3832759857177734
physicochemical_secondary_structure,train,3.0859017372131348
physicochemical_secondary_structure,validate,3.4608912467956543
physicochemical_secondary_structure,test,3.3805532455444336
physicochemical_volume,train,3.0930299758911133
physicochemical_volume,validate,3.4571523666381836
physicochemical_volume,test,3.1563591957092285
