Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.4235799312591553
seq_to_seq,validate,3.4490768909454346
seq_to_seq,test,3.400190591812134
bepler,train,3.0178089141845703
bepler,validate,3.268872022628784
bepler,test,3.2002158164978027
fasttext,train,3.2333555221557617
fasttext,validate,3.335516929626465
fasttext,test,3.260467529296875
fft_alpha_structure,train,2.5102345943450928
fft_alpha_structure,validate,3.282580614089966
fft_alpha_structure,test,3.2003092765808105
fft_betha_structure,train,2.650437831878662
fft_betha_structure,validate,3.330638885498047
fft_betha_structure,test,3.219550609588623
fft_energetic,train,2.5946030616760254
fft_energetic,validate,3.30940580368042
fft_energetic,test,3.2034599781036377
fft_hydropathy,train,2.6834490299224854
fft_hydropathy,validate,3.271733045578003
fft_hydropathy,test,3.1747493743896484
fft_hydrophobicity,train,2.7277491092681885
fft_hydrophobicity,validate,3.2839910984039307
fft_hydrophobicity,test,3.196815252304077
fft_index,train,2.754934072494507
fft_index,validate,3.2495944499969482
fft_index,test,3.1858527660369873
fft_secondary_structure,train,2.5901246070861816
fft_secondary_structure,validate,3.3410446643829346
fft_secondary_structure,test,3.215492010116577
fft_volume,train,2.781686544418335
fft_volume,validate,3.2874510288238525
fft_volume,test,3.2160356044769287
glove,train,2.9992799758911133
glove,validate,3.3284616470336914
glove,test,3.232632875442505
oneshot,train,3.2088685035705566
oneshot,validate,3.3836581707000732
oneshot,test,3.3221826553344727
physicochemical_alpha_structure,train,3.0457966327667236
physicochemical_alpha_structure,validate,3.3335747718811035
physicochemical_alpha_structure,test,3.2756733894348145
physicochemical_betha_structure,train,2.7440547943115234
physicochemical_betha_structure,validate,3.2416439056396484
physicochemical_betha_structure,test,3.1663224697113037
physicochemical_energetic,train,2.7813026905059814
physicochemical_energetic,validate,3.2475268840789795
physicochemical_energetic,test,3.1422998905181885
physicochemical_hydropathy,train,3.0517466068267822
physicochemical_hydropathy,validate,3.3529679775238037
physicochemical_hydropathy,test,3.282893419265747
physicochemical_hydrophobocity,train,3.158600091934204
physicochemical_hydrophobocity,validate,3.4120452404022217
physicochemical_hydrophobocity,test,3.33432936668396
physicochemical_index,train,2.7247939109802246
physicochemical_index,validate,3.242340564727783
physicochemical_index,test,3.153313398361206
physicochemical_secondary_structure,train,2.768578290939331
physicochemical_secondary_structure,validate,3.2507741451263428
physicochemical_secondary_structure,test,3.1598198413848877
physicochemical_volume,train,2.7251205444335938
physicochemical_volume,validate,3.3625333309173584
physicochemical_volume,test,3.242206335067749
