Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.3275270462036133
seq_to_seq,validate,3.4807283878326416
seq_to_seq,test,3.410593271255493
bepler,train,3.2795193195343018
bepler,validate,3.5056827068328857
bepler,test,3.3356401920318604
fasttext,train,3.3405983448028564
fasttext,validate,3.53662371635437
fasttext,test,3.380552053451538
fft_alpha_structure,train,3.290217161178589
fft_alpha_structure,validate,3.494384288787842
fft_alpha_structure,test,3.3736186027526855
fft_betha_structure,train,3.342226028442383
fft_betha_structure,validate,3.5260984897613525
fft_betha_structure,test,3.4078750610351562
fft_energetic,train,3.3461754322052
fft_energetic,validate,3.4633688926696777
fft_energetic,test,3.378891944885254
fft_hydropathy,train,3.312253952026367
fft_hydropathy,validate,3.5065243244171143
fft_hydropathy,test,3.392726182937622
fft_hydrophobicity,train,3.340261936187744
fft_hydrophobicity,validate,3.505056858062744
fft_hydrophobicity,test,3.4129478931427
fft_index,train,3.2293295860290527
fft_index,validate,3.5020949840545654
fft_index,test,3.2916250228881836
fft_secondary_structure,train,3.3459904193878174
fft_secondary_structure,validate,3.527998447418213
fft_secondary_structure,test,3.399738073348999
fft_volume,train,3.3003528118133545
fft_volume,validate,3.497053623199463
fft_volume,test,3.3759937286376953
glove,train,3.3431687355041504
glove,validate,3.4764597415924072
glove,test,3.4022650718688965
oneshot,train,3.227768898010254
oneshot,validate,3.529261827468872
oneshot,test,3.359386920928955
physicochemical_alpha_structure,train,3.0252790451049805
physicochemical_alpha_structure,validate,3.8593897819519043
physicochemical_alpha_structure,test,3.2341725826263428
physicochemical_betha_structure,train,3.091137170791626
physicochemical_betha_structure,validate,3.870870590209961
physicochemical_betha_structure,test,3.311976671218872
physicochemical_energetic,train,3.161292552947998
physicochemical_energetic,validate,3.495229721069336
physicochemical_energetic,test,3.258126974105835
physicochemical_hydropathy,train,3.178882122039795
physicochemical_hydropathy,validate,3.536315441131592
physicochemical_hydropathy,test,3.322706699371338
physicochemical_hydrophobocity,train,3.137144088745117
physicochemical_hydrophobocity,validate,3.721747636795044
physicochemical_hydrophobocity,test,3.335247039794922
physicochemical_index,train,3.0888891220092773
physicochemical_index,validate,3.8633077144622803
physicochemical_index,test,3.319520950317383
physicochemical_secondary_structure,train,3.1564743518829346
physicochemical_secondary_structure,validate,3.6702802181243896
physicochemical_secondary_structure,test,3.3478853702545166
physicochemical_volume,train,2.974867582321167
physicochemical_volume,validate,3.870394229888916
physicochemical_volume,test,3.167189121246338
