Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.323517322540283
seq_to_seq,validate,3.4483983516693115
seq_to_seq,test,3.39017653465271
bepler,train,3.25999116897583
bepler,validate,3.392251968383789
bepler,test,3.3326470851898193
fasttext,train,3.303532838821411
fasttext,validate,3.4251818656921387
fasttext,test,3.3696112632751465
fft_alpha_structure,train,3.287872791290283
fft_alpha_structure,validate,3.4460294246673584
fft_alpha_structure,test,3.373934507369995
fft_betha_structure,train,3.3112881183624268
fft_betha_structure,validate,3.449014663696289
fft_betha_structure,test,3.373849868774414
fft_energetic,train,3.2854115962982178
fft_energetic,validate,3.4342918395996094
fft_energetic,test,3.3588919639587402
fft_hydropathy,train,3.3391478061676025
fft_hydropathy,validate,3.440593957901001
fft_hydropathy,test,3.38326096534729
fft_hydrophobicity,train,3.367340326309204
fft_hydrophobicity,validate,3.45417857170105
fft_hydrophobicity,test,3.401939630508423
fft_index,train,3.3102738857269287
fft_index,validate,3.429616928100586
fft_index,test,3.3737406730651855
fft_secondary_structure,train,3.3667752742767334
fft_secondary_structure,validate,3.453662872314453
fft_secondary_structure,test,3.403447151184082
fft_volume,train,3.290053129196167
fft_volume,validate,3.4431533813476562
fft_volume,test,3.3672409057617188
glove,train,3.319854259490967
glove,validate,3.4524013996124268
glove,test,3.386946439743042
oneshot,train,3.2868120670318604
oneshot,validate,3.4159228801727295
oneshot,test,3.3623595237731934
physicochemical_alpha_structure,train,2.92533802986145
physicochemical_alpha_structure,validate,3.269599199295044
physicochemical_alpha_structure,test,3.2011194229125977
physicochemical_betha_structure,train,2.7713589668273926
physicochemical_betha_structure,validate,3.2685253620147705
physicochemical_betha_structure,test,3.1882901191711426
physicochemical_energetic,train,3.1595911979675293
physicochemical_energetic,validate,3.390861749649048
physicochemical_energetic,test,3.322580337524414
physicochemical_hydropathy,train,3.06986665725708
physicochemical_hydropathy,validate,3.324662923812866
physicochemical_hydropathy,test,3.2568776607513428
physicochemical_hydrophobocity,train,2.925509214401245
physicochemical_hydrophobocity,validate,3.282066822052002
physicochemical_hydrophobocity,test,3.1915836334228516
physicochemical_index,train,2.7678658962249756
physicochemical_index,validate,3.3256418704986572
physicochemical_index,test,3.2247650623321533
physicochemical_secondary_structure,train,2.7673449516296387
physicochemical_secondary_structure,validate,3.3533575534820557
physicochemical_secondary_structure,test,3.2525978088378906
physicochemical_volume,train,2.9283993244171143
physicochemical_volume,validate,3.2796835899353027
physicochemical_volume,test,3.187232255935669
